step,bucket,reason,segment_chars
15,traceback_in_exit0,traceback_only_no_test_failure,135
15,traceback_in_exit0,traceback_only_no_test_failure,122
15,traceback_in_exit0,traceback_only_no_test_failure,181
15,traceback_in_exit0,traceback_only_no_test_failure,506
16,traceback_in_exit0,traceback_only_no_test_failure,126
16,traceback_in_exit0,traceback_only_no_test_failure,264
16,traceback_in_exit0,traceback_only_no_test_failure,225
16,traceback_in_exit0,traceback_only_no_test_failure,130
16,traceback_in_exit0,traceback_only_no_test_failure,269
16,traceback_in_exit0,traceback_only_no_test_failure,119
16,traceback_in_exit0,traceback_only_no_test_failure,699
16,traceback_in_exit0,traceback_only_no_test_failure,1739
16,traceback_in_exit0,traceback_only_no_test_failure,422
16,traceback_in_exit0,traceback_only_no_test_failure,302
16,tests_failed_in_exit0,pytest_collection_error,867
16,tests_failed_in_exit0,unexplained_exit0_with_test_failure,1077
17,traceback_in_exit0,traceback_only_no_test_failure,811
17,traceback_in_exit0,traceback_only_no_test_failure,876
17,traceback_in_exit0,traceback_only_no_test_failure,656
17,traceback_in_exit0,traceback_only_no_test_failure,952
17,traceback_in_exit0,traceback_only_no_test_failure,152
17,traceback_in_exit0,traceback_only_no_test_failure,542
17,traceback_in_exit0,traceback_only_no_test_failure,142
17,traceback_in_exit0,traceback_only_no_test_failure,260
17,traceback_in_exit0,traceback_only_no_test_failure,123
17,traceback_in_exit0,traceback_only_no_test_failure,118
17,traceback_in_exit0,traceback_only_no_test_failure,208
17,traceback_in_exit0,traceback_only_no_test_failure,306
18,tests_failed_in_exit0,pytest_collection_error,1056
18,tests_failed_in_exit0,pytest_collection_error,957
18,tests_failed_in_exit0,unexplained_exit0_with_test_failure,3768
18,traceback_in_exit0,traceback_only_no_test_failure,843
18,tests_failed_in_exit0,unexplained_exit0_with_test_failure,2444
18,tests_failed_in_exit0,unexplained_exit0_with_test_failure,2123
18,tests_failed_in_exit0,unexplained_exit0_with_test_failure,635
18,traceback_in_exit0,traceback_only_no_test_failure,127
18,tests_failed_in_exit0,pytest_collection_error,966
18,tests_failed_in_exit0,unexplained_exit0_with_test_failure,1672
18,tests_failed_in_exit0,unexplained_exit0_with_test_failure,3492
18,tests_failed_in_exit0,pytest_collection_error,1839
18,tests_failed_in_exit0,pytest_collection_error,954
18,tests_failed_in_exit0,unexplained_exit0_with_test_failure,2847
19,traceback_in_exit0,traceback_only_no_test_failure,119
19,traceback_in_exit0,traceback_only_no_test_failure,2236
19,traceback_in_exit0,traceback_only_no_test_failure,216
19,traceback_in_exit0,traceback_only_no_test_failure,337
19,traceback_in_exit0,traceback_only_no_test_failure,164
19,traceback_in_exit0,traceback_only_no_test_failure,306
19,traceback_in_exit0,traceback_only_no_test_failure,112
19,traceback_in_exit0,traceback_only_no_test_failure,954
19,traceback_in_exit0,traceback_only_no_test_failure,128
19,traceback_in_exit0,traceback_only_no_test_failure,748
20,traceback_in_exit0,traceback_only_no_test_failure,119
20,traceback_in_exit0,traceback_only_no_test_failure,282
20,traceback_in_exit0,traceback_only_no_test_failure,140
20,traceback_in_exit0,traceback_only_no_test_failure,224
20,traceback_in_exit0,traceback_only_no_test_failure,158
20,traceback_in_exit0,traceback_only_no_test_failure,158
20,traceback_in_exit0,traceback_only_no_test_failure,158
20,traceback_in_exit0,traceback_only_no_test_failure,187
20,traceback_in_exit0,traceback_only_no_test_failure,396
20,traceback_in_exit0,traceback_only_no_test_failure,159
20,traceback_in_exit0,traceback_only_no_test_failure,408
20,traceback_in_exit0,traceback_only_no_test_failure,323
20,traceback_in_exit0,traceback_only_no_test_failure,162
20,traceback_in_exit0,traceback_only_no_test_failure,224
20,traceback_in_exit0,traceback_only_no_test_failure,395
20,traceback_in_exit0,traceback_only_no_test_failure,158
20,traceback_in_exit0,traceback_only_no_test_failure,848
20,traceback_in_exit0,traceback_only_no_test_failure,374
20,traceback_in_exit0,traceback_only_no_test_failure,319
20,traceback_in_exit0,traceback_only_no_test_failure,162
20,traceback_in_exit0,traceback_only_no_test_failure,196
20,traceback_in_exit0,traceback_only_no_test_failure,159
21,tests_failed_in_exit0,pytest_collection_error,1146
21,traceback_in_exit0,traceback_only_no_test_failure,417
21,traceback_in_exit0,traceback_only_no_test_failure,527
21,traceback_in_exit0,traceback_only_no_test_failure,513
21,traceback_in_exit0,traceback_only_no_test_failure,639
21,traceback_in_exit0,traceback_only_no_test_failure,1508
21,traceback_in_exit0,traceback_only_no_test_failure,1009
21,traceback_in_exit0,traceback_only_no_test_failure,2149
21,traceback_in_exit0,traceback_only_no_test_failure,644
21,traceback_in_exit0,traceback_only_no_test_failure,789
21,traceback_in_exit0,traceback_only_no_test_failure,541
