step,bucket,reason,segment_chars
12,traceback_in_exit0,traceback_only_no_test_failure,248
12,traceback_in_exit0,traceback_only_no_test_failure,522
12,traceback_in_exit0,traceback_only_no_test_failure,296
12,traceback_in_exit0,traceback_only_no_test_failure,296
12,traceback_in_exit0,traceback_only_no_test_failure,310
12,traceback_in_exit0,traceback_only_no_test_failure,296
12,traceback_in_exit0,traceback_only_no_test_failure,309
12,traceback_in_exit0,traceback_only_no_test_failure,315
12,traceback_in_exit0,traceback_only_no_test_failure,452
12,traceback_in_exit0,traceback_only_no_test_failure,1027
12,traceback_in_exit0,traceback_only_no_test_failure,1035
12,traceback_in_exit0,traceback_only_no_test_failure,1045
12,traceback_in_exit0,traceback_only_no_test_failure,1040
12,traceback_in_exit0,traceback_only_no_test_failure,140
12,traceback_in_exit0,traceback_only_no_test_failure,1961
12,traceback_in_exit0,traceback_only_no_test_failure,717
12,traceback_in_exit0,traceback_only_no_test_failure,1048
12,traceback_in_exit0,traceback_only_no_test_failure,740
12,traceback_in_exit0,traceback_only_no_test_failure,1048
12,traceback_in_exit0,traceback_only_no_test_failure,651
12,traceback_in_exit0,traceback_only_no_test_failure,1034
12,traceback_in_exit0,traceback_only_no_test_failure,758
12,traceback_in_exit0,traceback_only_no_test_failure,655
12,traceback_in_exit0,traceback_only_no_test_failure,1349
12,traceback_in_exit0,traceback_only_no_test_failure,1107
12,traceback_in_exit0,traceback_only_no_test_failure,121
13,traceback_in_exit0,traceback_only_no_test_failure,613
13,traceback_in_exit0,traceback_only_no_test_failure,665
13,traceback_in_exit0,traceback_only_no_test_failure,1347
13,traceback_in_exit0,traceback_only_no_test_failure,164
13,traceback_in_exit0,traceback_only_no_test_failure,665
13,traceback_in_exit0,traceback_only_no_test_failure,514
13,traceback_in_exit0,traceback_only_no_test_failure,584
13,traceback_in_exit0,traceback_only_no_test_failure,1430
13,traceback_in_exit0,traceback_only_no_test_failure,1419
13,traceback_in_exit0,traceback_only_no_test_failure,486
13,traceback_in_exit0,traceback_only_no_test_failure,584
13,traceback_in_exit0,traceback_only_no_test_failure,1394
13,traceback_in_exit0,traceback_only_no_test_failure,1417
13,traceback_in_exit0,traceback_only_no_test_failure,613
13,traceback_in_exit0,traceback_only_no_test_failure,1372
13,traceback_in_exit0,traceback_only_no_test_failure,1289
14,traceback_in_exit0,traceback_only_no_test_failure,10541
14,traceback_in_exit0,traceback_only_no_test_failure,138
14,traceback_in_exit0,traceback_only_no_test_failure,699
14,traceback_in_exit0,traceback_only_no_test_failure,699
14,traceback_in_exit0,traceback_only_no_test_failure,701
14,traceback_in_exit0,traceback_only_no_test_failure,699
14,traceback_in_exit0,traceback_only_no_test_failure,699
14,traceback_in_exit0,traceback_only_no_test_failure,530
14,traceback_in_exit0,traceback_only_no_test_failure,180
15,tests_failed_in_exit0,unexplained_exit0_with_test_failure,912
15,traceback_in_exit0,traceback_only_no_test_failure,241
15,traceback_in_exit0,traceback_only_no_test_failure,232
15,traceback_in_exit0,traceback_only_no_test_failure,246
15,traceback_in_exit0,traceback_only_no_test_failure,236
15,traceback_in_exit0,traceback_only_no_test_failure,262
15,traceback_in_exit0,traceback_only_no_test_failure,233
15,traceback_in_exit0,traceback_only_no_test_failure,248
15,traceback_in_exit0,traceback_only_no_test_failure,312
15,traceback_in_exit0,traceback_only_no_test_failure,375
15,traceback_in_exit0,traceback_only_no_test_failure,236
15,traceback_in_exit0,traceback_only_no_test_failure,728
15,traceback_in_exit0,traceback_only_no_test_failure,270
15,traceback_in_exit0,traceback_only_no_test_failure,233
15,traceback_in_exit0,traceback_only_no_test_failure,236
15,traceback_in_exit0,traceback_only_no_test_failure,247
16,traceback_in_exit0,traceback_only_no_test_failure,320
16,traceback_in_exit0,traceback_only_no_test_failure,1142
16,traceback_in_exit0,traceback_only_no_test_failure,892
16,traceback_in_exit0,traceback_only_no_test_failure,773
16,traceback_in_exit0,traceback_only_no_test_failure,397
16,traceback_in_exit0,traceback_only_no_test_failure,241
16,traceback_in_exit0,traceback_only_no_test_failure,326
16,traceback_in_exit0,traceback_only_no_test_failure,196
16,traceback_in_exit0,traceback_only_no_test_failure,777
16,traceback_in_exit0,traceback_only_no_test_failure,306
16,traceback_in_exit0,traceback_only_no_test_failure,235
16,traceback_in_exit0,traceback_only_no_test_failure,550
16,traceback_in_exit0,traceback_only_no_test_failure,324
16,traceback_in_exit0,traceback_only_no_test_failure,139
16,traceback_in_exit0,traceback_only_no_test_failure,509
16,traceback_in_exit0,traceback_only_no_test_failure,426
16,traceback_in_exit0,traceback_only_no_test_failure,175
16,traceback_in_exit0,traceback_only_no_test_failure,111
16,traceback_in_exit0,traceback_only_no_test_failure,346
16,traceback_in_exit0,traceback_only_no_test_failure,634
16,traceback_in_exit0,traceback_only_no_test_failure,175
16,traceback_in_exit0,traceback_only_no_test_failure,271
16,traceback_in_exit0,traceback_only_no_test_failure,123
16,traceback_in_exit0,traceback_only_no_test_failure,182
16,traceback_in_exit0,traceback_only_no_test_failure,298
17,traceback_in_exit0,traceback_only_no_test_failure,806
17,traceback_in_exit0,traceback_only_no_test_failure,822
17,traceback_in_exit0,traceback_only_no_test_failure,355
17,traceback_in_exit0,traceback_only_no_test_failure,460
17,traceback_in_exit0,traceback_only_no_test_failure,169
17,traceback_in_exit0,traceback_only_no_test_failure,155
17,traceback_in_exit0,traceback_only_no_test_failure,167
18,traceback_in_exit0,traceback_only_no_test_failure,128
18,tests_failed_in_exit0,unexplained_exit0_with_test_failure,7391
