global_step,acceptance_step,scope,prompt_idx,n_samples,reward_mean,reward_std,reward_min,reward_max,n_zero,degenerate
15,15,step,,256,0.664062,0.472317,0.0,1.0,86,0
16,16,group,0,32,0.09375,0.291481,0.0,1.0,29,0
16,16,group,1,32,0.96875,0.173993,0.0,1.0,1,0
16,16,group,2,32,0.90625,0.291481,0.0,1.0,3,0
16,16,group,3,32,0.65625,0.474959,0.0,1.0,11,0
16,16,group,4,32,0.4375,0.496078,0.0,1.0,18,0
16,16,group,5,32,0.1875,0.390312,0.0,1.0,26,0
16,16,group,6,32,0.78125,0.413399,0.0,1.0,7,0
16,16,group,7,32,0.78125,0.413399,0.0,1.0,7,0
16,16,step,,256,0.601562,0.489576,0.0,1.0,102,0
17,17,group,0,32,0.25,0.433013,0.0,1.0,24,0
17,17,group,1,32,0.21875,0.413399,0.0,1.0,25,0
17,17,group,2,32,0.96875,0.173993,0.0,1.0,1,0
17,17,group,3,32,0.03125,0.173993,0.0,1.0,31,0
17,17,group,4,32,0.96875,0.173993,0.0,1.0,1,0
17,17,group,5,32,0.96875,0.173993,0.0,1.0,1,0
17,17,group,6,32,0.9375,0.242061,0.0,1.0,2,0
17,17,group,7,32,0.5,0.5,0.0,1.0,16,0
17,17,step,,256,0.605469,0.48875,0.0,1.0,101,0
18,18,group,0,32,0.875,0.330719,0.0,1.0,4,0
18,18,group,1,32,0.3125,0.463512,0.0,1.0,22,0
18,18,group,2,32,0.9375,0.242061,0.0,1.0,2,0
18,18,group,3,32,0.53125,0.499022,0.0,1.0,15,0
18,18,group,4,32,0.15625,0.363092,0.0,1.0,27,0
18,18,group,5,32,0.28125,0.449609,0.0,1.0,23,0
18,18,group,6,32,0.9375,0.242061,0.0,1.0,2,0
18,18,group,7,32,0.09375,0.291481,0.0,1.0,29,0
18,18,step,,256,0.515625,0.499756,0.0,1.0,124,0
19,19,group,0,32,0.1875,0.390312,0.0,1.0,26,0
19,19,group,1,32,0.96875,0.173993,0.0,1.0,1,0
19,19,group,2,32,0.78125,0.413399,0.0,1.0,7,0
19,19,group,3,32,0.71875,0.449609,0.0,1.0,9,0
19,19,group,4,32,0.9375,0.242061,0.0,1.0,2,0
19,19,group,5,32,0.8125,0.390312,0.0,1.0,6,0
19,19,group,6,32,0.8125,0.390312,0.0,1.0,6,0
19,19,group,7,32,0.15625,0.363092,0.0,1.0,27,0
19,19,step,,256,0.671875,0.469531,0.0,1.0,84,0
20,20,group,0,32,0.40625,0.491132,0.0,1.0,19,0
20,20,group,1,32,0.34375,0.474959,0.0,1.0,21,0
20,20,group,2,32,0.1875,0.390312,0.0,1.0,26,0
20,20,group,3,32,0.96875,0.173993,0.0,1.0,1,0
20,20,group,4,32,0.8125,0.390312,0.0,1.0,6,0
20,20,group,5,32,0.40625,0.491132,0.0,1.0,19,0
20,20,group,6,32,0.96875,0.173993,0.0,1.0,1,0
20,20,group,7,32,0.53125,0.499022,0.0,1.0,15,0
20,20,step,,256,0.578125,0.493859,0.0,1.0,108,0
21,21,group,0,32,0.96875,0.173993,0.0,1.0,1,0
21,21,group,1,32,0.03125,0.173993,0.0,1.0,31,0
21,21,group,2,32,0.90625,0.291481,0.0,1.0,3,0
21,21,group,3,32,0.96875,0.173993,0.0,1.0,1,0
21,21,group,4,32,0.84375,0.363092,0.0,1.0,5,0
21,21,group,5,32,0.90625,0.291481,0.0,1.0,3,0
21,21,group,6,32,0.4375,0.496078,0.0,1.0,18,0
21,21,group,7,32,0.78125,0.413399,0.0,1.0,7,0
21,21,step,,256,0.730469,0.443716,0.0,1.0,69,0
22,22,group,0,32,0.125,0.330719,0.0,1.0,28,0
22,22,group,1,32,0.03125,0.173993,0.0,1.0,31,0
22,22,group,2,32,0.59375,0.491132,0.0,1.0,13,0
22,22,group,3,32,0.875,0.330719,0.0,1.0,4,0
22,22,group,4,32,0.96875,0.173993,0.0,1.0,1,0
22,22,group,5,32,0.6875,0.463512,0.0,1.0,10,0
22,22,group,6,32,0.21875,0.413399,0.0,1.0,25,0
22,22,group,7,32,0.65625,0.474959,0.0,1.0,11,0
22,22,step,,256,0.519531,0.499618,0.0,1.0,123,0
23,23,group,0,32,0.09375,0.291481,0.0,1.0,29,0
23,23,group,1,32,0.8125,0.390312,0.0,1.0,6,0
23,23,group,2,32,0.90625,0.291481,0.0,1.0,3,0
23,23,group,3,32,0.09375,0.291481,0.0,1.0,29,0
23,23,group,4,32,0.75,0.433013,0.0,1.0,8,0
23,23,group,5,32,0.40625,0.491132,0.0,1.0,19,0
23,23,group,6,32,0.03125,0.173993,0.0,1.0,31,0
23,23,group,7,32,0.90625,0.291481,0.0,1.0,3,0
23,23,step,,256,0.5,0.5,0.0,1.0,128,0
24,24,group,0,32,0.1875,0.390312,0.0,1.0,26,0
24,24,group,1,32,0.84375,0.363092,0.0,1.0,5,0
24,24,group,2,32,0.96875,0.173993,0.0,1.0,1,0
24,24,group,3,32,0.8125,0.390312,0.0,1.0,6,0
24,24,group,4,32,0.03125,0.173993,0.0,1.0,31,0
24,24,group,5,32,0.5625,0.496078,0.0,1.0,14,0
24,24,group,6,32,0.8125,0.390312,0.0,1.0,6,0
24,24,group,7,32,0.90625,0.291481,0.0,1.0,3,0
24,24,step,,256,0.640625,0.479817,0.0,1.0,92,0
25,25,group,0,32,0.84375,0.363092,0.0,1.0,5,0
25,25,group,1,32,0.8125,0.390312,0.0,1.0,6,0
25,25,group,2,32,0.8125,0.390312,0.0,1.0,6,0
25,25,group,3,32,0.90625,0.291481,0.0,1.0,3,0
25,25,group,4,32,0.3125,0.463512,0.0,1.0,22,0
25,25,group,5,32,0.0625,0.242061,0.0,1.0,30,0
25,25,group,6,32,0.40625,0.491132,0.0,1.0,19,0
25,25,group,7,32,0.84375,0.363092,0.0,1.0,5,0
25,25,step,,256,0.625,0.484123,0.0,1.0,96,0
26,26,group,0,32,0.90625,0.291481,0.0,1.0,3,0
26,26,group,1,32,0.09375,0.291481,0.0,1.0,29,0
26,26,group,2,32,0.96875,0.173993,0.0,1.0,1,0
26,26,group,3,32,0.9375,0.242061,0.0,1.0,2,0
26,26,group,4,32,0.8125,0.390312,0.0,1.0,6,0
26,26,group,5,32,0.78125,0.413399,0.0,1.0,7,0
26,26,group,6,32,0.90625,0.291481,0.0,1.0,3,0
26,26,group,7,32,0.03125,0.173993,0.0,1.0,31,0
26,26,step,,256,0.679688,0.466597,0.0,1.0,82,0
27,27,group,0,32,0.90625,0.291481,0.0,1.0,3,0
27,27,group,1,32,0.46875,0.499022,0.0,1.0,17,0
27,27,group,2,32,0.90625,0.291481,0.0,1.0,3,0
27,27,group,3,32,0.09375,0.291481,0.0,1.0,29,0
27,27,group,4,32,0.90625,0.291481,0.0,1.0,3,0
27,27,group,5,32,0.90625,0.291481,0.0,1.0,3,0
27,27,group,6,32,0.96875,0.173993,0.0,1.0,1,0
27,27,group,7,32,0.9375,0.242061,0.0,1.0,2,0
27,27,step,,256,0.761719,0.426032,0.0,1.0,61,0
28,28,group,0,32,0.15625,0.363092,0.0,1.0,27,0
28,28,group,1,32,0.875,0.330719,0.0,1.0,4,0
28,28,group,2,32,0.90625,0.291481,0.0,1.0,3,0
28,28,group,3,32,0.1875,0.390312,0.0,1.0,26,0
28,28,group,4,32,0.0625,0.242061,0.0,1.0,30,0
28,28,group,5,32,0.125,0.330719,0.0,1.0,28,0
28,28,group,6,32,0.4375,0.496078,0.0,1.0,18,0
28,28,group,7,32,0.1875,0.390312,0.0,1.0,26,0
28,28,step,,256,0.367188,0.482038,0.0,1.0,162,0
29,29,group,0,32,0.09375,0.291481,0.0,1.0,29,0
29,29,group,1,32,0.96875,0.173993,0.0,1.0,1,0
29,29,group,2,32,0.9375,0.242061,0.0,1.0,2,0
29,29,group,3,32,0.75,0.433013,0.0,1.0,8,0
29,29,group,4,32,0.21875,0.413399,0.0,1.0,25,0
29,29,group,5,32,0.78125,0.413399,0.0,1.0,7,0
29,29,group,6,32,0.96875,0.173993,0.0,1.0,1,0
29,29,group,7,32,0.1875,0.390312,0.0,1.0,26,0
29,29,step,,256,0.613281,0.486998,0.0,1.0,99,0
30,30,group,0,32,0.28125,0.449609,0.0,1.0,23,0
30,30,group,1,32,0.6875,0.463512,0.0,1.0,10,0
30,30,group,2,32,0.03125,0.173993,0.0,1.0,31,0
30,30,group,3,32,0.875,0.330719,0.0,1.0,4,0
30,30,group,4,32,0.9375,0.242061,0.0,1.0,2,0
30,30,group,5,32,0.84375,0.363092,0.0,1.0,5,0
30,30,group,6,32,0.8125,0.390312,0.0,1.0,6,0
30,30,group,7,32,0.6875,0.463512,0.0,1.0,10,0
30,30,step,,256,0.644531,0.478655,0.0,1.0,91,0
31,31,group,0,32,0.96875,0.173993,0.0,1.0,1,0
31,31,group,1,32,0.125,0.330719,0.0,1.0,28,0
31,31,group,2,32,0.90625,0.291481,0.0,1.0,3,0
31,31,group,3,32,0.125,0.330719,0.0,1.0,28,0
31,31,group,4,32,0.9375,0.242061,0.0,1.0,2,0
31,31,group,5,32,0.1875,0.390312,0.0,1.0,26,0
31,31,group,6,32,0.59375,0.491132,0.0,1.0,13,0
31,31,group,7,32,0.90625,0.291481,0.0,1.0,3,0
31,31,step,,256,0.59375,0.491132,0.0,1.0,104,0
32,32,group,0,32,0.84375,0.363092,0.0,1.0,5,0
32,32,group,1,32,0.25,0.433013,0.0,1.0,24,0
32,32,group,2,32,0.8125,0.390312,0.0,1.0,6,0
32,32,group,3,32,0.09375,0.291481,0.0,1.0,29,0
32,32,group,4,32,0.03125,0.173993,0.0,1.0,31,0
32,32,group,5,32,0.84375,0.363092,0.0,1.0,5,0
32,32,group,6,32,0.5,0.5,0.0,1.0,16,0
32,32,group,7,32,0.03125,0.173993,0.0,1.0,31,0
32,32,step,,256,0.425781,0.494461,0.0,1.0,147,0
33,33,group,0,32,0.03125,0.173993,0.0,1.0,31,0
33,33,group,1,32,0.59375,0.491132,0.0,1.0,13,0
33,33,group,2,32,0.03125,0.173993,0.0,1.0,31,0
33,33,group,3,32,0.75,0.433013,0.0,1.0,8,0
33,33,group,4,32,0.46875,0.499022,0.0,1.0,17,0
33,33,group,5,32,0.96875,0.173993,0.0,1.0,1,0
33,33,group,6,32,0.75,0.433013,0.0,1.0,8,0
33,33,group,7,32,0.9375,0.242061,0.0,1.0,2,0
33,33,step,,256,0.566406,0.495571,0.0,1.0,111,0
34,34,group,0,32,0.84375,0.363092,0.0,1.0,5,0
34,34,group,1,32,0.9375,0.242061,0.0,1.0,2,0
34,34,group,2,32,0.03125,0.173993,0.0,1.0,31,0
34,34,group,3,32,0.84375,0.363092,0.0,1.0,5,0
34,34,group,4,32,0.59375,0.491132,0.0,1.0,13,0
34,34,group,5,32,0.96875,0.173993,0.0,1.0,1,0
34,34,group,6,32,0.90625,0.291481,0.0,1.0,3,0
34,34,group,7,32,0.875,0.330719,0.0,1.0,4,0
34,34,step,,256,0.75,0.433013,0.0,1.0,64,0
35,35,group,0,32,0.03125,0.173993,0.0,1.0,31,0
35,35,group,1,32,0.96875,0.173993,0.0,1.0,1,0
35,35,group,2,32,0.96875,0.173993,0.0,1.0,1,0
35,35,group,3,32,0.65625,0.474959,0.0,1.0,11,0
35,35,group,4,32,0.9375,0.242061,0.0,1.0,2,0
35,35,group,5,32,0.96875,0.173993,0.0,1.0,1,0
35,35,group,6,32,0.90625,0.291481,0.0,1.0,3,0
35,35,group,7,32,0.1875,0.390312,0.0,1.0,26,0
35,35,step,,256,0.703125,0.456881,0.0,1.0,76,0
